method,capacity,value,time_seconds
greedy,100,2418,0.00012373999979899963
greedy,200,3625,6.183000008604723e-05
greedy,300,4489,0.00013134799984982238
greedy,400,5285,0.00013037199998507275
greedy,500,6010,6.797199996071867e-05
greedy,600,6635,0.0001370020001195371
greedy,700,7217,7.82620000973111e-05
greedy,800,7772,6.992400012677536e-05
greedy,900,8275,7.114799987903097e-05
greedy,1000,8729,7.16840000677621e-05
greedy,1100,9144,0.00013555599987739698
greedy,1200,9558,7.743799997115275e-05
greedy,1300,9938,7.760200001939665e-05
greedy,1400,10295,7.794399989506929e-05
greedy,1500,10648,0.00013444199998048135
greedy,1600,10987,7.556200005637948e-05
greedy,1700,11308,0.00013618599979963619
greedy,1800,11625,7.77139999627252e-05
greedy,1900,11938,7.886999988841125e-05
greedy,2000,12246,7.895400001871167e-05
dynamic,100,2429,0.005913439999894763
dynamic,200,3625,0.014113253999894368
dynamic,300,4501,0.02269233000017266
dynamic,400,5293,0.032467456000158566
dynamic,500,6010,0.04222487800001545
dynamic,600,6640,0.05119914399998379
dynamic,700,7223,0.060580769999942274
dynamic,800,7772,0.07070240200016997
dynamic,900,8278,0.08026649000006728
dynamic,1000,8731,0.09009916399973009
dynamic,1100,9152,0.10002803399984259
dynamic,1200,9558,0.11030778199998167
dynamic,1300,9939,0.11856262199988123
dynamic,1400,10300,0.1289885740000318
dynamic,1500,10653,0.1393561000000045
dynamic,1600,10987,0.14823351999999432
dynamic,1700,11310,0.15778594800001883
dynamic,1800,11626,0.16802134000008664
dynamic,1900,11939,0.17576753600009398
dynamic,2000,12247,0.1868899280000187
